ID,collection_year,country,div_domain,div_type,performance,N_team,N_ind,students
10.1016/s1479-3601(03)04011-6,,,demographic; cognitive; job-related,ethnic,creativity,,,no
43707,2010 [2005-2015],India,,Intra-organizational (formal and informal affiliations),Patenting outcomes (scope and speed of patents),121,,no
10.1017/jmo.2016.57,2016,China,job-related,Team work value,Creativity,47,458,no
5568,,United States,job-related,Unobservable (geographic origin and academic major),Problem-solving,40,120,yes
6214,1999,,job-related,,Knowledge sharing and workgroup performance,,,no
21073,,,demographic,gender,group effectiveness,31 (study 1); 21 (study 2),,yes (study 2)
2447,,,demographic,Ethnic,,,,no
10.5465/ambpp.2013.13864abstract,,,job-related,,Creativity,,,no
10.5465/ambpp.2014.16531abstract,,Spain,demographic,Gender,Innovation,205 (small and medium-sized enterprises),,no
10.5465/ambpp.2013.15197abstract,,Vietnam,job-related,Task-related,creativity,,,no
10.5465/ambpp.2012.293,,,job-related,Team,Objective team performance,59,,no
10.5465/ambpp.2013.17630abstract,1985.5 [1966-2005],,cognitive; demographic,Composition,Acquisitive and Organic Growth,,,no
10.1002/jocb.41,2013,,,,Creativity,55,,no
43741,Mid-1990s,,demographic,,Management and Organizational Performance,,,no
10.1109/tse.2004.69,,,cognitive,,Defect detection in software inspection,,,no
10.1016/j.respol.2005.05.008,,,,,Net cash flow and revenue growth,102 university-based start-ups and 154 independent high-technology new ventures,,no
32961,,United States,,,Success of start-ups,225,,no
10.1016/j.ijproman.2016.05.011,,,,,Technical performance,133,,no
10.1108/pr-10-2018-0389,,Thailand; Taiwan,job-related,National,Subsidiary performance,,,no
10.1002/job.479,,United States,job-related,heterogeneity,Revenue growth and employment growth,,,no
10.1177/1046496412466921,,,cognitive,Expertise and Expertness,Team performance,,,no
39744,,Worldwide,cognitive; demographic; job-related,,Team performance,,,yes
33012,2003,Durban region,,,Innovation,3,,no
10.1016/j.jesp.2013.04.004,,,job-related,Deep,Creativity,,,
10.1177/1059601109350985,,,job-related,Organizational tenure,Team innovation,67,321,no
10.1016/j.jbusres.2018.11.029,2018,,,,creativity,79,,no
10.1002/jsc.721,,,demographic,,Performance outcomes,,,no
10.1016/j.jbusres.2004.09.003,1998,,demographic,Gender,Organizational Performance,679,,no
10.1002/job.268,,,job-related,"Age, sex, race, tenure",Branch performance,486,,no
10.1002/job.257,,,,,Various performance outcomes,1528,,no
